Channel,CellId,Type,cellIdentity,mnc,mcc,xhat1,yhat1,xhat2,yhat2,est_Lat1,est_Lon1,est_Lat2,est_Lon2,Max_cinr,Num_points,Confidence
0,383,Sector,,,,-137.5561,59.9920,-437.5561,-140.0080,39.231781,-77.282686,39.229981,-77.286171,38.06,14,High
0,264,Sector,,,,-341.6403,-348.8851,-341.6403,-248.8851,39.228058,-77.285056,39.228958,-77.285056,33.80,37,High
0,103,Sector,,,,44.5276,-346.0931,44.5276,-46.0931,39.226082,-77.287421,39.228781,-77.287421,37.83,16,High
0,118,Sector,,,,928.9724,-809.3684,1428.9724,-1209.3684,39.216995,-77.282311,39.213395,-77.276504,32.19,25,High
0,350,Sector,,,,4150.0112,-3369.5052,4150.0112,-3269.5052,39.183571,-77.248914,39.184471,-77.248914,27.43,13,High
0,488,Sector,,,,809.8200,-48.4903,809.8200,-48.4903,39.213485,-77.274965,39.213485,-77.274965,33.64,25,High
0,291,Sector,,,,-148.0513,-355.6450,-348.0513,-255.6450,39.211485,-77.273099,39.212385,-77.275422,26.42,14,High
0,332,Sector,,,,161.9307,-1695.4675,161.9307,-1695.4675,39.200019,-77.258831,39.200019,-77.258831,25.83,16,High
0,190,Sector,,,,1745.8997,-274.9329,1745.8997,-274.9329,39.212880,-77.237857,39.212880,-77.237857,36.68,23,High
0,119,Sector,,,,1052.2969,-388.1227,1052.2969,-388.1227,39.213551,-77.238596,39.213551,-77.238596,31.65,13,High
0,207,Sector,,,,1086.1970,254.9421,886.1970,854.9421,39.214668,-77.226753,39.220067,-77.229076,20.21,5,High
0,231,Sector,,,,-2194.5517,3652.0925,-2794.5517,3052.0925,39.233817,-77.281938,39.228418,-77.288904,20.80,4,High
0,280,Sector,,,,-936.5507,483.2034,-336.5507,-116.7966,39.203974,-77.270799,39.198575,-77.263833,28.68,9,High
